NOME_SUBTIPO_DE_CURSOS,CODIGO_CURSO,CURSO,EIXO_TECNOLOGICO,MODALIDADE,CARGA_HORARIA_CURSO,SITUACAO_ATIVO,CODIGO_UNIDADE_DE_ENSINO,UNIDADE_DE_ENSINO,UF,CODIGO_MUNICIPIO,MUNICIPIO,INICIO,DESISTENCIA,QTDADE_ALUNOS
Técnico,378734,TÉCNICO EM SERVIÇOS DE RESTAURANTE E BAR,"Turismo, Hospitalidade e Lazer",EAD,800,a,24170,CENTRO UNIVERSITÁRIO DO SUL DE MINAS - UNIS - Cidade Universitária,MG,3170701,Varginha,2024,1,50
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,a,31532,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - Polo de Apoio Presencial de Passo Fundo/RS,,4314100,Passo Fundo,2022,0,20
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46820,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - UNIASSELVI - POLO DE APOIO PRESENCIAL DE IPU/CE,CE,2305803,Ipu,2020,1,30
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,31137,CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE - UNIDADE II - CHÁCARA DAS MANSÕES - CAMPUS CAMPO GRANDE,MS,5002704,Campo Grande,2022,1,20
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46856,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE PELOTAS/RS - UNIDADE 2,RS,4314407,Pelotas,2022,1,60
Técnico,73,Técnico em Informática,Informação e Comunicação,Educação Presencial,1200,t,24461,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: UNIDADE SEDE,SP,3550308,São Paulo,2020,0,
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,,800,t,46810,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI) - POLO DE APOIO PRESENCIAL DE GRANJA/CE,CE,2304707,Granja,2020,1,10
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,EAD,800,t,31489,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - Polo de Apoio Presencial de Joinville/SC - Unidade 1,SC,4209102,Joinville,2020,1,20
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,31142,FACULDADE PITÁGORAS DE BELO HORIZONTE - fpas - Unidade Sede - Campus II - Antônio Carlos,MG,3106200,Belo Horizonte,2022,0,30
Técnico,378730,TÉCNICO EM BRINQUEDOTECA,Desenvolvimento Educacional e Social,EAD,800,t,50002,FACULDADE DE ENSINO SUPERIOR PELEGRINO CIPRIANI - FASPEC,MT,5103403,Cuiabá,2020,2,40
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,46802,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - UNIASSELVI - POLO DE APOIO PRESENCIAL DE ESTEIO/RS,RS,4307708,Esteio,2024,5,20
Graduação,71,Graduação em Lazer,"Turismo, Hospitalidade e Lazer",EAD,800,t,24461,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: UNIDADE SEDE,SP,3550308,São Paulo,2021,2,20
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,EAD,800,t,46451,CENTRO UNIVERSITÁRIO FAEL - UNIFAEL - CAMPUS LAPA BOQUEIRÃO,PR,4113205,Lapa,2020,0,20
Técnico,68,Técnico em Eventos,"Turismo, Hospitalidade e Lazer",Educação Presencial,800,t,47098,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - PAP CURITIBA 05,PR,4106902,Curitiba,2020,0,
Técnico,74,Técnico em Informática para Internet,Informação e Comunicação,EAD,1000,t,46451,CENTRO UNIVERSITÁRIO FAEL - UNIFAEL - CAMPUS LAPA BOQUEIRÃO,PR,4113205,Lapa,2020,1,10
Técnico,232050,Técnico em Cuidados de Idosos,Ambiente e Saúde,EAD,800,t,24091,Centro Universitário Católica do Leste de Minas Gerais (UNILESTE) -CAMPUS III - IPATINGA,MG,3131307,Ipatinga,2020,2,10
Técnico,232034,Técnico em Serviços Jurídicos,Gestão e Negócios,EAD,800,t,24645,UNIVERSIDADE LUTERANA DO BRASIL - ULBRA - POLO SÃO JERÔNIMO,RS,4318408,São Jerônimo,2020,4,60
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46818,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,SC,4207502,Indaial,2020,0,60
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46845,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE MONTENEGRO/RS,RS,4312401,Montenegro,2020,1,30
Técnico,75,Técnico em Manutenção e Suporte em Informática,Informação e Comunicação,Educação Presencial,1000,t,46451,CENTRO UNIVERSITÁRIO FAEL - UNIFAEL - CAMPUS LAPA BOQUEIRÃO,PR,4113205,Lapa,2020,,
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46787,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE CANGUÇU/RS,RS,4304507,Canguçu,2022,1,20
Técnico,74,Técnico em Informática para Internet,Informação e Comunicação,Educação Presencial,1000,t,47244,FACULDADE SAPIENS - PORTO VELHO,RO,1100205,Porto Velho,2021,0,20
Técnico,65,Técnico em Vendas,Gestão e Negócios,Educação Presencial,800,t,46610,"Centro Universitário de Ensino, Ciência e Tecnologia do Paraná (UniEnsino) - SEde",PR,4106902,Curitiba,2022,0,30
Graduação,304427,DESENVOLVIMENTO DE SISTEMAS,Informação e Comunicação,EAD,1200,t,47098,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - PAP CURITIBA 05,PR,4106902,Curitiba,2021,0,30
Graduação,9,Farmácia,Ambiente e Saúde,Educação Presencial,1200,a,50123,FACULDADE ICESP - UNIDADE ÁGUAS CLARAS,DF,5300108,Brasília,2024,3,30
Técnico,232050,Técnico em Cuidados de Idosos,Ambiente e Saúde,EAD,800,t,25099,UNIVERSIDADE FEEVALE - CAMPUS: SEDE,RS,4313409,Novo Hamburgo,2023,0,40
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,EAD,800,a,46799,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE DIVINÓPOLIS/MG,MG,3122306,Divinópolis,2024,2,20
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,50294,FACULDADE ANHANGUERA DE SALVADOR,BA,2927408,Salvador,2022,0,60
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,a,31592,FACULDADE PROMOVE DE SETE LAGOAS - UNIDADE SEDE - CAMPUS SETE LAGOAS,MG,3167202,Sete Lagoas,2022,0,20
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46785,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI) - Polo de Apoio Presencial de Campos Novos/SC,SC,4203600,Campos Novos,2022,1,20
Graduação,8,Graduação em Estética,Ambiente e Saúde,Educação Presencial,1200,t,50155,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS - FMU - LIBERDADE - CLÍNICAS,SP,3550308,São Paulo,2021,1,20
Graduação,151,Publicidade,Produção Cultural e Design,Educação Presencial,800,a,47159,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (UNIFOA) - CAMPUS - VOLTA REDONDA - TRÊS POÇOS,RJ,3306305,Volta Redonda,2023,1,30
Técnico,2,Técnico em Análises Clínicas,Ambiente e Saúde,Educação Presencial,1200,t,30451,UNIVERSIDADE PITÁGORAS UNOPAR - LONDRINA/PR - PIZA - SEDE,,4113700,Londrina,2023,0,50
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,32349,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ - CAMPUS  - CHAPECÓ - EFAPI - CAMPUS SEDE_CHAPECÓ,SC,4204202,Chapecó,2022,1,20
Técnico,139,TÉCNICO EM DESIGN DE INTERIORES,Produção Cultural e Design,Educação Presencial,1200,t,24461,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: UNIDADE SEDE,SP,3550308,São Paulo,2023,1,30
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,EAD,800,t,46882,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE SAPIRANGA/RS,RS,4319901,Sapiranga,2023,1,20
Técnico,63,Técnico em Serviços Públicos,Gestão e Negócios,Educação Presencial,800,t,46490,FACULDADE FAMART - UNIDADE SEDE,MG,3133808,Itaúna,2023,0,60
Graduação,6,Enfermagem,Ambiente e Saúde,EAD,1200,t,25017,Centro Universitário de Excelência Eniac - ENIAC - ENDEREÇO SEDE,SP,3518800,Guarulhos,2022,1,
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,,800,t,46816,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE IGREJINHA/RS,RS,4310108,Igrejinha,2023,1,10
Técnico,76,Técnico em Programação de Jogos Digitais,Informação e Comunicação,Educação Presencial,1000,t,47015,FACULDADE CESAR - FCE - campus principal,PE,2611606,Recife,2023,0,20
Técnico,232034,Técnico em Serviços Jurídicos,Gestão e Negócios,EAD,800,t,24663,UNIVERSIDADE LUTERANA DO BRASIL - ULBRA - POLO JI-PARANÁ,RO,1100122,Ji-Paraná,2023,2,30
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,31489,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - Polo de Apoio Presencial de Joinville/SC - Unidade 1,SC,4209102,Joinville,2024,5,40
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,46810,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI) - POLO DE APOIO PRESENCIAL DE GRANJA/CE,CE,2304707,Granja,2024,2,20
Graduação,37,Graduação em Eletroeletrônica,Controle e Processos Industriais,Educação Presencial,1200,t,50165,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO - CEUNSP - CAMPUS SALTO,SP,3545209,Salto,2020,0,20
Técnico,8,Técnico em Estética,Ambiente e Saúde,EAD,1200,t,50242,UNIVERSIDADE PARANAENSE - UNIPAR - FRANCISCO BELTRÃO,PR,4108403,Francisco Beltrão,2023,0,20
Técnico,232050,Técnico em Cuidados de Idosos,Ambiente e Saúde,EAD,800,t,24461,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: UNIDADE SEDE,SP,3550308,São Paulo,2021,1,
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46769,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE ARAQUARI/SC,SC,4201307,Araquari,2022,2,10
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46802,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - UNIASSELVI - POLO DE APOIO PRESENCIAL DE ESTEIO/RS,RS,4307708,Esteio,2022,4,10
Técnico,64,Técnico em Transações Imobiliárias,Gestão e Negócios,Educação Presencial,800,t,24461,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: UNIDADE SEDE,SP,3550308,São Paulo,2023,0,60
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,46451,CENTRO UNIVERSITÁRIO FAEL - UNIFAEL - CAMPUS LAPA BOQUEIRÃO,PR,4113205,Lapa,2024,1,60
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,EAD,800,t,24885,UNIVERSIDADE CESUMAR (UNICESUMAR) - MARINGÁ,PR,4115200,Maringá,2022,1,30
Técnico,28,Técnico em Vigilância em Saúde,Ambiente e Saúde,Educação Presencial,1200,a,46492,FACULDADE DE TECNOLOGIA ALTOMEDIO SÃO FRANCISCO,MG,3151206,Pirapora,2024,0,
Técnico,232039,Técnico em Soldagem,Controle e Processos Industriais,EAD,1200,t,41986,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS - UNIDADE SEDE - CAMPUS PATOS DE MINAS,MG,3148004,Patos de Minas,2021,0,20
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,31179,Centro Universitário CEUNI FAMETRO - SEDE - CAMPUS MANAUS,AM,1302603,Manaus,2022,3,20
Graduação,23,Radiologia,Ambiente e Saúde,Educação Presencial,1200,a,50069,CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO - UNIDADE CAMPUS,PR,4104303,Campo Mourão,2023,0,30
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46893,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE TORRES/RS,RS,4321501,Torres,2022,2,30
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46809,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - UNIASSELVI - POLO DE APOIO PRESENCIAL DE GOIANÉSIA DO PARÁ/PA,PA,1503093,Goianésia do Pará,2022,0,30
Técnico,149,Técnico em Produção de Áudio e Vídeo,Produção Cultural e Design,Educação Presencial,800,t,42663,FACULDADES INTEGRADAS HÉLIO ALONSO - UNIDADE SEDE - CAMPUS RIO DE JANEIRO,RJ,3304557,Rio de Janeiro,2021,0,40
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,EAD,800,t,46859,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE PINHAIS/PR,PR,4119152,Pinhais,2022,1,20
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46780,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE CACHOEIRINHA/RS,RS,4303103,Cachoeirinha,2021,1,60
Técnico,29,Técnico em Alimentação Escolar,Desenvolvimento Educacional e Social,EAD,1200,t,31193,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS - LIBERDADE,SP,3550308,São Paulo,2021,1,20
Graduação,304427,DESENVOLVIMENTO DE SISTEMAS,Informação e Comunicação,EAD,1200,t,46722,CENTRO UNIVERSITÁRIO DE GOIÁS UNI- ANHANGUERA,GO,5208707,Goiânia,2020,0,20
Técnico,232034,Técnico em Serviços Jurídicos,Gestão e Negócios,EAD,800,t,24608,UNIVERSIDADE LUTERANA DO BRASIL - ULBRA - POLO MANAUS CEULM,AM,1302603,Manaus,2021,1,20
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,EAD,800,t,46779,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE CABO FRIO/RJ,RJ,3300704,Cabo Frio,2022,1,30
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,46792,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI) - Polo de Apoio Presencial de Catalão/GO,GO,5205109,Catalão,2024,1,50
Técnico,74,Técnico em Informática para Internet,Informação e Comunicação,Educação Presencial,1000,t,47098,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - PAP CURITIBA 05,PR,4106902,Curitiba,2021,0,20
Técnico,8,Graduação em Estética,Ambiente e Saúde,Educação Presencial,1200,t,30826,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA - CAMPUS: UNIDADE SEDE,BA,2914802,Itabuna,2021,1,30
Técnico,65,Técnico em Vendas,Gestão e Negócios,Educação Presencial,800,t,31769,Universidade Universus Veritas Guarulhos - Univeritas UNG - Guarulhos Centro,SP,3518800,Guarulhos,2021,1,20
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,47098,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - PAP CURITIBA 05,PR,4106902,Curitiba,2021,0,60
Técnico,8,Técnico em Estética,Ambiente e Saúde,Educação Presencial,1200,t,50017,FACULDADE SANTA TEREZA,,1302603,Manaus,2021,2,
Técnico,56,Técnico em Logística,Gestão e Negócios,,800,t,47159,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (UNIFOA) - CAMPUS - VOLTA REDONDA - TRÊS POÇOS,RJ,3306305,Volta Redonda,2021,5,10
Técnico,76,Técnico em Programação de Jogos Digitais,Informação e Comunicação,Educação Presencial,1000,t,24885,UNIVERSIDADE CESUMAR (UNICESUMAR) - MARINGÁ,PR,4115200,Maringá,2021,2,20
Técnico,144,TÉCNICO EM INSTRUMENTO MUSICAL,Produção Cultural e Design,Educação Presencial,1200,t,31205,FIAM-FAAM - CENTRO UNIVERSITÁRIO - UNIFIAM-FAAM - Liberdade - Prédio 7,SP,3550308,São Paulo,2021,0,30
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,29632,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL - CAMPUS REITOR REZENDE RIBEIRO DE REZENDE,DF,5300108,Brasília,2022,0,40
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46846,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE MONTES CLAROS/MG,MG,3143302,Montes Claros,2021,1,20
Técnico,378709,TÉCNICO EM DEPENDÊNCIA QUÍMICA,Ambiente e Saúde,EAD,1200,t,25121,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX - CAMPUS: UNIDADE SEDE,MG,3106200,Belo Horizonte,2021,2,20
Técnico,77,Técnico em Redes de Computadores,Informação e Comunicação,Educação Presencial,1000,t,46955,FACULDADE DESCOMPLICA  - campus principal,RJ,3304557,Rio de Janeiro,2021,4,20
Técnico,65,Técnico em Vendas,Gestão e Negócios,Educação Presencial,800,t,46651,FACULDADE QI BRASIL,RS,4309209,Gravataí,2022,0,
Graduação,50,ADMINISTRAÇÃO,Gestão e Negócios,Educação Presencial,800,t,46750,FACULDADE UNIFICADA DO ESTADO DE SAO PAULO,SP,3529401,Mauá,2020,1,10
Graduação,9,Farmácia,Ambiente e Saúde,Educação Presencial,1200,t,50124,FACULDADE DO INSTITUTO BRASIL - UNIDADE SEDE,GO,5201108,Anápolis,2024,,10
Técnico,68,Técnico em Eventos,"Turismo, Hospitalidade e Lazer",Educação Presencial,800,t,46818,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,SC,4207502,Indaial,2023,1,60
Técnico,51,Técnico em Comércio,Gestão e Negócios,Educação Presencial,800,a,25045,UNIVERSIDADE METODISTA DE SÃO PAULO - CAMPUS: CAMPUS RUDGE RAMOS,SP,3548708,São Bernardo do Campo,2024,0,60
Técnico,8,Técnico em Estética,Ambiente e Saúde,Educação Presencial,1200,t,48835,FACULDADE AJES - AJES - Campus Principal,MT,5105150,Juína,2020,0,30
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,24786,UNIVERSIDADE LUTERANA DO BRASIL - ULBRA - POLO ITUMBIARA,GO,5211503,Itumbiara,2022,0,
Graduação,73,Graduação em Informática,Informação e Comunicação,Educação Presencial,1200,t,24227,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU - CAMPUS: BLOCO B,PE,2611606,Recife,2020,3,20
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,46882,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE SAPIRANGA/RS,RS,4319901,Sapiranga,2024,0,20
Graduação,52,Graduação em Comércio Exterior,Gestão e Negócios,Educação Presencial,800,t,47130,UNIVERSIDADE SANTA ÚRSULA - usu - CAMPUS - RIO DE JANEIRO - BOTAFOGO,RJ,3304557,Rio de Janeiro,2020,2,30
Graduação,304427,DESENVOLVIMENTO DE SISTEMAS,Informação e Comunicação,EAD,1200,a,46451,CENTRO UNIVERSITÁRIO FAEL - UNIFAEL - CAMPUS LAPA BOQUEIRÃO,PR,4113205,Lapa,2023,0,30
Técnico,15,Técnico em Massoterapia,Ambiente e Saúde,Educação Presencial,1200,t,30451,UNIVERSIDADE PITÁGORAS UNOPAR - LONDRINA/PR - PIZA - SEDE,PR,4113700,Londrina,2021,0,30
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46877,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE SÃO LEOPOLDO/RS,RS,4318705,São Leopoldo,2022,1,40
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,50227,FACULDADE METROPOLITANA DO CEARÁ  - SEDE CAMBEBA,CE,2304400,Fortaleza,2022,1,20
Técnico,232034,Técnico em Serviços Jurídicos,Gestão e Negócios,EAD,800,t,47002,FACULDADE TRÊS MARIAS (FTM) - PEDRO AFONSO (POLO EAD),TO,1716505,Pedro Afonso,2022,1,60
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46764,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE ALEGRETE/RS,RS,4300406,Alegrete,2022,0,20
Técnico,56,Técnico em Logística,Gestão e Negócios,Educação Presencial,800,t,24461,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: UNIDADE SEDE,SP,3550308,São Paulo,2023,1,20
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46955,FACULDADE DESCOMPLICA  - campus principal,RJ,3304557,Rio de Janeiro,2022,1,20
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,46818,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,SC,4207502,Indaial,2024,1,30
Técnico,232050,Técnico em Cuidados de Idosos,Ambiente e Saúde,EAD,800,a,31804,UNIVERSIDADE LA SALLE (UNILASALLE) - CANOAS SEDE,RS,4304606,Canoas,2024,0,50
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,50212,FACULDADE SETE LAGOAS - FACSETE - Prédio Novo nº 86,MG,3167202,Sete Lagoas,2022,1,20
Técnico,232034,Técnico em Serviços Jurídicos,Gestão e Negócios,EAD,800,t,31733,ESCOLA SUPERIOR NACIONAL DE SEGUROS - CAMPUS: RIO DE JANEIRO - CENTRO,RJ,3304557,Rio de Janeiro,2022,1,30
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46876,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE SÃO JOAQUIM/SC,SC,4216503,São Joaquim,2022,0,20
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46830,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE JANUÁRIA/MG,MG,3135209,Januária,2022,2,60
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,50274,FACULDADE TRÊS MARIAS - FTM - Faculdade Três Marias,PB,2507507,João Pessoa,2022,5,
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,24799,UNIVERSIDADE LUTERANA DO BRASIL - ULBRA - POLO GUAÍBA,RS,4309308,Guaíba,2022,2,10
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46921,Centro Universitário União das Américas Descomplica - UNIAMÉRICA - Campus Centro,,4108304,Foz do Iguaçu,2022,0,20
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,a,50002,FACULDADE DE ENSINO SUPERIOR PELEGRINO CIPRIANI - FASPEC,MT,5103403,Cuiabá,2024,0,30
Técnico,2,Técnico em Análises Clínicas,Ambiente e Saúde,Educação Presencial,1200,t,24443,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: CAMPUS ANÁLIA FRANCO,SP,3550308,São Paulo,2022,1,40
Técnico,95,Técnico em Transporte de Cargas,Infraestrutura,Educação Presencial,1000,t,46818,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,SC,4207502,Indaial,2022,2,20
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,31193,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS - LIBERDADE,SP,3550308,São Paulo,2022,4,20
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46774,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE BARREIRAS/BA,BA,2903201,Barreiras,2022,0,20
